intern_clock,1,2,3,4,5,6,7,8
2579974.0,-128.0,0.0,-211.0,0.0,-1914672.5741444868,55745.10395675723,90630.91675781335,54475.47814260673
2580978.0,-106.0,1.0,-277.0,0.0,-1915020.5741444868,291873.9667981852,62603.59107870993,349452.6988600854
2581982.0,-137.0,-7.0,-257.0,0.0,-1719261.5741444868,163613.16650629728,245046.35172128477,277396.9284197407
2582986.0,-149.0,-11.0,-145.0,0.0,-1646612.5741444868,406.10189528036454,301040.6860227934,47262.08659105808
2583991.0,-161.0,0.0,-271.0,0.0,-1661691.5741444868,86611.54926064139,222450.07435571638,236391.2019130372
2584995.0,-127.0,-171.0,-201.0,-32.0,-1755955.5741444868,161359.4916470775,290128.3251818082,157717.14472414667
2585999.0,-161.0,-8.0,-246.0,0.0,-1524352.5741444868,94640.86194666284,292726.98504122294,204511.61795096798
2587003.0,-121.0,-169.0,-146.0,-34.0,-1566825.5741444868,165026.08396034976,326207.9779301232,116589.99279299208
2588008.0,-143.0,-80.0,-40.0,0.0,-1459361.5741444868,23077.943832354016,286667.63405374816,72017.24416404776
2589011.0,-78.0,1.0,-109.0,1.0,-1482546.5741444868,324394.90824342886,300819.52348156663,294406.10569829243
2590016.0,0.0,1.0,-126.0,0.0,-1608234.5741444868,23828.1092297812,40198.317726019195,22901.261089553056
2591021.0,-73.0,0.0,-1.0,1.0,-1401081.5741444868,153010.72293376183,328125.55769098725,149724.70688503078
2592024.0,-98.0,1.0,-227.0,0.0,-1403261.5741444868,173279.4926655179,270038.9754852593,297783.1751763424
2593029.0,-117.0,1.0,-236.0,1.0,-1540642.5741444868,277651.0215829821,43924.15258248179,572867.0642265752
2594032.0,-116.0,1.0,-235.0,1.0,-1281920.5741444868,122975.49903423025,206968.69646984144,354447.9725095328
2595037.0,-66.0,-198.0,-192.0,0.0,-1434930.5741444868,163638.5958418033,288217.02844768355,185651.0035075188
2596041.0,-61.0,-181.0,-239.0,0.0,-1422297.5741444868,101743.5932201842,435472.32613893785,102166.81638567058
2597046.0,-73.0,-108.0,-245.0,0.0,-1508936.5741444868,281020.4085375279,79727.3521542633,553753.9810788218
2598049.0,0.0,-158.0,1.0,1.0,-1437049.5741444868,82054.9302046589,482127.56949500635,29910.27321380782
2599054.0,-79.0,0.0,0.0,-5.0,-1585852.5741444868,425495.588881433,139490.24589406245,268365.76219720184
2600057.0,-98.0,1.0,-47.0,-16.0,-1513989.5741444868,394452.72756247595,243582.4064910052,287204.73646599636
2601062.0,-102.0,0.0,-83.0,0.0,-1349259.5741444868,131023.88372188121,345735.62503616995,154157.3359934574
2602066.0,-10.0,0.0,1.0,-100.0,-1611807.5741444868,463336.02944783936,154368.4532129552,245519.748921522
2603070.0,0.0,0.0,0.0,-114.0,-1639164.5741444868,659529.7102105537,111726.80733801369,287737.3252088857
2604075.0,1.0,1.0,1.0,-67.0,-1644988.5741444868,799486.4155017353,127757.32176091195,334632.78591742873
2605079.0,1.0,-284.0,1.0,0.0,-1481123.5741444868,88102.344054681,629869.1734558899,-1471.5867312045486
2606083.0,0.0,-319.0,-195.0,0.0,-1431838.5741444868,68949.28641825095,805839.1599515377,-26700.423682745928
2607087.0,-43.0,-237.0,-229.0,0.0,-1474852.5741444868,406326.6379103117,534828.3411797229,352660.253636674
2608092.0,1.0,1.0,1.0,1.0,-1364715.5741444868,209397.09575139233,310981.6909298678,218697.95466901365
2609095.0,1.0,0.0,0.0,0.0,-1614886.5741444868,22458.10377939512,32193.741660027048,25565.40703592502
2610100.0,0.0,0.0,1.0,1.0,-1615091.5741444868,-1242.0369122026623,27140.93155620375,3618.663240338277
2611103.0,0.0,0.0,1.0,1.0,-1616504.5741444868,-564.9808543552473,26992.65212515397,3743.69536056512
2612108.0,1.0,1.0,1.0,0.0,-1610005.5741444868,4339.702231365699,33416.41866351376,16131.493118424656
2613111.0,1.0,0.0,0.0,0.0,-1608847.5741444868,14691.031115779348,44134.00567557765,20139.734357235186
2614116.0,0.0,-49.0,-203.0,-43.0,-1590223.5741444868,255929.60106044542,31698.63915296254,384052.9336690137
2615119.0,-106.0,-102.0,-222.0,-53.0,-1356814.5741444868,281638.65925701766,254027.31014257926,455020.6842169998
2616124.0,-107.0,-94.0,-248.0,-49.0,-1088285.5741444868,487145.8341488068,474406.98623763496,814983.3494223802
2617128.0,-58.0,-52.0,1.0,-36.0,-1524688.5741444868,8165.227891550507,130471.58931233156,50339.80031971884
2618132.0,0.0,-55.0,1.0,-156.0,-1650191.5741444868,695029.0625769383,108859.23393415277,246614.98220543214
2619137.0,0.0,-217.0,1.0,-167.0,-1455447.5741444868,925871.8023000553,874272.6305917051,289339.9003652548
2620141.0,1.0,-157.0,1.0,1.0,-1547720.5741444868,66921.29691164696,338497.5782323843,13996.329219166257
2621145.0,1.0,-63.0,1.0,-38.0,-1592387.5741444868,514367.93780798645,163816.86882366086,412883.6574686284
2622149.0,0.0,-90.0,0.0,-6.0,-1415666.5741444868,541510.5747937098,421928.633699493,378811.20247488836
2623154.0,1.0,-26.0,-210.0,1.0,-1594875.5741444868,294102.21232189896,65457.34182374418,505302.83225899487
2624157.0,-129.0,-96.0,-238.0,-27.0,-891125.5741444867,503485.7715448849,566517.414842547,994618.4392305961
2625162.0,-46.0,-91.0,1.0,0.0,-1545226.5741444868,7618.497178171373,144422.4218844893,54711.11559995732
2626166.0,0.0,0.0,1.0,1.0,-1663543.5741444868,68677.5103950305,57518.10923584176,24020.539011968354
2627170.0,0.0,1.0,1.0,-56.0,-1679989.5741444868,15372.855174034139,45610.51695933602,22423.975015225587
2628174.0,-189.0,-35.0,1.0,-231.0,-1471258.5741444868,597267.5715575666,676908.9380484095,318890.76108809904
2629178.0,1.0,0.0,1.0,0.0,-1878422.5741444868,14559.11643784194,49987.27338600017,23031.10213748093
2630182.0,1.0,-198.0,-191.0,0.0,-1940376.5741444868,312304.84854379203,51424.82990397427,519405.01274227246
2631186.0,0.0,-205.0,-259.0,0.0,-1819225.5741444868,368864.4587095572,350235.5287869263,676494.647256123
2632191.0,0.0,0.0,1.0,1.0,-2076177.5741444868,10881.398790285793,50384.36067593008,23946.00063260235
2633195.0,-154.0,-163.0,1.0,-63.0,-1702035.5741444868,199446.27890119827,419347.5663149486,231490.90458568517
2634199.0,-165.0,-159.0,1.0,0.0,-1801584.5741444868,144315.47952417683,374885.09929092973,201324.50111710874
2635203.0,1.0,0.0,0.0,-187.0,-2221661.574144487,734384.1379394212,88078.75129627017,225523.02530870392
2636208.0,1.0,-255.0,1.0,0.0,-2035263.5741444868,94896.74463519202,736681.8846309917,-845.2238981450748
2637211.0,0.0,-242.0,-208.0,0.0,-2159370.574144487,402413.698909325,32774.29333074736,643281.7880889425
2638216.0,1.0,-211.0,-296.0,0.0,-1843042.5741444868,380615.99038027035,655746.4473847717,343027.9714515061
2639220.0,-112.0,-142.0,1.0,0.0,-1848749.5741444868,173195.25799165425,93350.2107306245,385802.1811202643
2640224.0,-82.0,-149.0,1.0,-78.0,-1762588.5741444868,359721.02326167887,338355.58182807395,236147.14883220982
2641228.0,-113.0,-157.0,1.0,-72.0,-1829053.5741444868,632806.6572606794,411903.43623411073,306496.9521706132
2642233.0,1.0,-63.0,1.0,1.0,-1958166.5741444868,111975.72209441345,161980.96841040897,53974.14742977409
2643236.0,-1.0,-212.0,-148.0,0.0,-1922652.5741444868,111065.0340166046,133737.50661147028,89994.21814243225
2644241.0,0.0,-229.0,0.0,0.0,-1702556.5741444868,413739.28921031253,653832.6374399512,334179.5444816064
2645244.0,1.0,-179.0,-200.0,0.0,-1808311.5741444868,297978.5966530958,571905.7385742542,229177.81036148855
2646249.0,1.0,0.0,-72.0,0.0,-1937796.5741444868,202359.5271501051,49078.74771948333,458706.7272998412
